entry,name,subname,included_spawn_count,area_count,area_ids,negative_event_baseline_count,minlevel,maxlevel,faction_template_id,template_npcflag,rank,creature_type,creature_family,type_flags,template_movement_type,template_unit_flags,flags_extra,ai_name,script_name,spawn_movement_types,path_spawn_count,wander_spawn_count
6,Kobold Vermin,,33,1,9,0,1,2,25,0,0,7,0,0,1,0,2,SmartAI,,0|1,0,25
30,Forest Spider,,16,3,12|89|92,0,5,6,22,0,0,1,3,1,1,0,0,SmartAI,,1,0,16
38,Defias Thug,,71,2,9|59,0,3,4,7,0,0,7,0,0,1,0,0,SmartAI,,0|1|2,9,36
40,Kobold Miner,,51,3,18|54|57,0,6,7,26,0,0,7,0,0,1,0,0,SmartAI,,0|1|2,1,35
43,Mine Spider,,8,1,54,0,8,9,22,0,0,1,3,1,1,0,0,SmartAI,,0,0,0
46,Murloc Forager,,58,3,12|62|86,0,9,10,18,0,0,7,0,0,1,32768,0,SmartAI,,0|1,0,28
54,Corina Steele,Weaponsmith,1,1,87,0,10,10,12,4224,0,7,0,0,0,512,66,,,0,0,0
60,Ruklar the Trapper,,1,1,54,0,8,8,26,0,0,7,0,0,1,0,0,SmartAI,,0,0,0
61,Thuros Lightfingers,,8,4,12|18|92|797,0,11,11,17,0,4,7,0,0,0,0,0,SmartAI,,0|2,1,0
66,Tharynn Bouden,Trade Supplies,1,1,87,0,10,10,12,128,0,7,0,0,0,512,66,,,0,0,0
68,Stormwind City Guard,,3,1,12,0,75,75,11,1,0,7,0,0,0,32768,98368,SmartAI,,0|2,1,0
69,Diseased Timber Wolf,,36,2,9|34,0,2,2,32,0,0,1,1,1,1,0,0,,,0|1,0,34
74,Kurran Steele,Cloth & Leather Armor Merchant,1,1,87,0,10,10,12,4224,0,7,0,0,0,512,66,,,0,0,0
78,Janos Hammerknuckle,Weaponsmith,1,1,9,0,5,5,12,4224,0,7,0,0,0,768,66,,,0,0,0
79,Narg the Taskmaster,,1,1,57,0,10,10,26,0,4,7,0,0,1,0,0,SmartAI,,0,0,0
80,Kobold Laborer,,25,2,12|34,0,3,4,25,0,0,7,0,0,1,0,2,SmartAI,,0|1,0,11
