spawn_id,entry,name,area_id,game_event_entries,census_scope_status,primary_category,participation_mode,role_or_profession,unique_named,review_status,classification_source
11,1215,Alchemist Mallory,12,,INCLUDED,TRAINER,FULL_AGENT,Alchemy Trainer,YES,ACCEPTED_DEFAULT,template:1215
12,1218,Herbalist Pomeroy,12,,INCLUDED,TRAINER,FULL_AGENT,Herbalism Trainer,YES,ACCEPTED_DEFAULT,template:1218
30,794,Matt,18,,INCLUDED,CIVILIAN,FULL_AGENT,civilian,YES,ACCEPTED_DEFAULT,template:794
247,80,Kobold Laborer,12,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:80
4312,46,Murloc Forager,62,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:46
8969,14849,Darkmoon Faire Carnie,87,23,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
8971,14849,Darkmoon Faire Carnie,87,23,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
11006,24519,Costumed Orphan Matron,87,12,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
11007,23712,Touring Orphan,87,12,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
11008,23712,Touring Orphan,87,12,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
11009,23712,Touring Orphan,87,12,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
11010,23712,Touring Orphan,87,12,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
12604,14849,Darkmoon Faire Carnie,12,23,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
17650,6491,Spirit Healer,88,,INCLUDED,SPECIAL_SCRIPTED,VANILLA_ONLY,spirit_healer,NO,ACCEPTED_DEFAULT,template:6491
27660,14849,Darkmoon Faire Carnie,12,23,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
38004,14849,Darkmoon Faire Carnie,87,23,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
42598,14849,Darkmoon Faire Carnie,87,23,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
42601,14849,Darkmoon Faire Carnie,87,23,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
44187,14849,Darkmoon Faire Carnie,87,23,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
46801,14849,Darkmoon Faire Carnie,87,23,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
48875,1423,Stormwind Guard,60,,INCLUDED,GUARD,FULL_AGENT,guard,NO,ACCEPTED_DEFAULT,template:1423
52415,15303,Maxima Blastenheimer,12,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
52416,14833,Chronos,12,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
53941,24484,Brewfest Reveler,12,24,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
53942,14869,Pygmy Cockatrice,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
53996,14388,Rogue Black Drake,12,,INCLUDED,PREDATOR,FULL_AGENT,predator,NO,MANUAL_REVIEW,template:14388
53997,14388,Rogue Black Drake,12,,INCLUDED,PREDATOR,FULL_AGENT,predator,NO,MANUAL_REVIEW,template:14388
53998,14388,Rogue Black Drake,12,,INCLUDED,PREDATOR,FULL_AGENT,predator,NO,MANUAL_REVIEW,template:14388
54000,14390,Expeditionary Mountaineer,12,,INCLUDED,TRAVELER,FULL_AGENT,traveler,YES,ACCEPTED_DEFAULT,template:14390
54003,14393,Expeditionary Priest,12,,INCLUDED,TRAVELER,FULL_AGENT,traveler,YES,ACCEPTED_DEFAULT,template:14393
56323,14868,Hornsley,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56324,14871,Morja,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56326,14869,Pygmy Cockatrice,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56342,14829,Yebb Neblegear,12,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56497,14846,Lhara,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56498,14828,Gelvas Grimegate,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56499,10445,Selina Dourman,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56600,14823,Silas Darkmoon,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56611,14827,Burth,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56612,14864,Khaz Modan Ram,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56613,14849,Darkmoon Faire Carnie,12,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56614,14841,Rinling,12,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56615,14822,Sayge,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56617,14847,Professor Thaddeus Paleo,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56618,14869,Pygmy Cockatrice,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56621,14845,Stamp Thunderhorn,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56623,14844,Sylannia,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56624,14866,Flik's Frog,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56625,14860,Flik,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
56680,14849,Darkmoon Faire Carnie,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
57163,14869,Pygmy Cockatrice,12,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
57168,14864,Khaz Modan Ram,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
57441,14865,Felinni,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
61987,14832,Kerri Hicks,87,4,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
70557,15565,Elder Stormbrow,87,7,EXCLUDED_EVENT,EXCLUDED_EVENT,EXCLUDED,,N/A,EXCLUDED_BY_POLICY,game_event_creature positive eventEntry
79601,46,Murloc Forager,62,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:46
79602,46,Murloc Forager,62,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:46
79603,46,Murloc Forager,62,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:46
79604,721,Rabbit,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:721
79605,524,Rockhide Boar,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:524
79606,524,Rockhide Boar,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:524
79607,2442,Cow,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:2442
79608,46,Murloc Forager,12,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:46
79610,524,Rockhide Boar,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:524
79611,524,Rockhide Boar,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:524
79612,524,Rockhide Boar,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:524
79613,721,Rabbit,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:721
79615,524,Rockhide Boar,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:524
79616,524,Rockhide Boar,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:524
79617,524,Rockhide Boar,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:524
79618,524,Rockhide Boar,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:524
79619,285,Murloc,18,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:285
79620,285,Murloc,18,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:285
79621,285,Murloc,18,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:285
79622,285,Murloc,18,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:285
79623,285,Murloc,18,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:285
79624,285,Murloc,18,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:285
79625,735,Murloc Streamrunner,18,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:735
79627,285,Murloc,18,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:285
79628,6491,Spirit Healer,12,,INCLUDED,SPECIAL_SCRIPTED,VANILLA_ONLY,spirit_healer,NO,ACCEPTED_DEFAULT,template:6491
79629,285,Murloc,18,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:285
79630,735,Murloc Streamrunner,18,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:735
79632,735,Murloc Streamrunner,18,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:735
79634,285,Murloc,18,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:285
79635,285,Murloc,18,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:285
79637,6306,Helene Peltskinner,87,,INCLUDED,TRAINER,FULL_AGENT,Skinning Trainer,YES,ACCEPTED_DEFAULT,template:6306
79638,805,Cameron,87,,INCLUDED,CIVILIAN,FULL_AGENT,civilian,YES,ACCEPTED_DEFAULT,template:805
79639,806,John,87,,INCLUDED,CIVILIAN,FULL_AGENT,civilian,YES,ACCEPTED_DEFAULT,template:806
79640,804,Dana,87,,INCLUDED,CIVILIAN,FULL_AGENT,civilian,YES,ACCEPTED_DEFAULT,template:804
79641,811,Jose,87,,INCLUDED,CIVILIAN,FULL_AGENT,civilian,YES,ACCEPTED_DEFAULT,template:811
79642,807,Lisa,87,,INCLUDED,CIVILIAN,FULL_AGENT,civilian,YES,ACCEPTED_DEFAULT,template:807
79643,810,Aaron,87,,INCLUDED,CIVILIAN,FULL_AGENT,civilian,YES,ACCEPTED_DEFAULT,template:810
79644,721,Rabbit,87,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:721
79645,917,Keryn Sylvius,87,,INCLUDED,TRAINER,FULL_AGENT,Rogue Trainer,YES,ACCEPTED_DEFAULT,template:917
79646,2329,Michelle Belle,87,,INCLUDED,TRAINER,FULL_AGENT,Physician,YES,ACCEPTED_DEFAULT,template:2329
79647,465,Barkeep Dobbins,87,,INCLUDED,MERCHANT_VENDOR,FULL_AGENT,Bartender,YES,ACCEPTED_DEFAULT,template:465
79648,299,Diseased Young Wolf,87,-12,INCLUDED,PREDATOR,FULL_AGENT,predator,NO,ACCEPTED_DEFAULT,template:299
79649,721,Rabbit,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:721
79651,299,Diseased Young Wolf,12,-12,INCLUDED,PREDATOR,FULL_AGENT,predator,NO,ACCEPTED_DEFAULT,template:299
79652,883,Deer,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:883
79653,94,Defias Cutpurse,12,,INCLUDED,HOSTILE_HUMANOID,FULL_AGENT,hostile_humanoid,NO,ACCEPTED_DEFAULT,template:94
79864,68,Stormwind City Guard,12,,INCLUDED,GUARD,FULL_AGENT,guard,NO,ACCEPTED_DEFAULT,template:68
79865,68,Stormwind City Guard,12,,INCLUDED,GUARD,FULL_AGENT,guard,NO,ACCEPTED_DEFAULT,template:68
79866,721,Rabbit,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:721
79867,721,Rabbit,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:721
79868,890,Fawn,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:890
79869,883,Deer,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:883
79870,721,Rabbit,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:721
79871,2442,Cow,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:2442
79872,721,Rabbit,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:721
79873,721,Rabbit,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:721
79874,883,Deer,12,,INCLUDED,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,ACCEPTED_DEFAULT,template:883
79875,1423,Stormwind Guard,12,,INCLUDED,GUARD,FULL_AGENT,guard,NO,ACCEPTED_DEFAULT,template:1423
