spawn_id,entry,name,subname,map_id,zone_id,area_id,position_x,position_y,position_z,orientation,spawntimesecs,wander_distance,spawn_movement_type,spawn_npcflag,spawn_unit_flags,spawn_dynamicflags,minlevel,maxlevel,faction_template_id,template_npcflag,rank,creature_type,creature_family,type_flags,template_movement_type,template_unit_flags,flags_extra,ai_name,script_name,path_id,template_spawn_count
11,1215,Alchemist Mallory,Alchemy Trainer,0,12,12,-9056,152.629,115.116,3.159,300,0,0,0,0,0,26,26,12,81,0,7,0,0,0,512,66,,,NULL,1
12,1218,Herbalist Pomeroy,Herbalism Trainer,0,12,12,-9060,148.566,115.222,1.606,300,0,0,0,0,0,10,10,12,81,0,7,0,0,0,512,66,,,NULL,1
30,794,Matt,NULL,0,12,18,-9387.13,-117.859,58.862,2.818,300,0,0,0,0,0,1,1,12,0,0,7,0,0,0,768,66,SmartAI,,NULL,1
247,80,Kobold Laborer,,0,12,12,-8534,-199,83.681,3.142,300,7,1,0,0,0,3,4,25,0,0,7,0,0,1,0,2,SmartAI,,NULL,25
4312,46,Murloc Forager,,0,12,62,-9917.74,-847.071,19.9035,4.6241,300,5,1,0,0,0,9,10,18,0,0,7,0,0,1,32768,0,SmartAI,,NULL,58
8969,14849,Darkmoon Faire Carnie,NULL,0,12,87,-9528.68,92.4662,58.9648,6.0912,300,0,0,0,0,0,25,25,1555,1,0,7,0,0,0,768,66,SmartAI,,0,11
8971,14849,Darkmoon Faire Carnie,NULL,0,12,87,-9530.22,96.3252,58.9648,0.628319,300,0,0,0,0,0,25,25,1555,1,0,7,0,0,0,768,66,SmartAI,,0,11
11006,24519,Costumed Orphan Matron,,0,12,87,-9429.92,56.1355,56.7913,2.98451,43200,0,0,0,0,0,12,12,1732,3,0,7,0,0,0,0,66,,,NULL,1
11007,23712,Touring Orphan,,0,12,87,-9431.01,58.3279,56.7729,5.48033,43200,0,0,0,0,0,1,3,12,1,0,7,0,0,0,768,66,SmartAI,,NULL,4
11008,23712,Touring Orphan,,0,12,87,-9428.72,54.0571,56.819,1.91986,43200,0,0,0,0,0,1,3,12,1,0,7,0,0,0,768,66,SmartAI,,NULL,4
11009,23712,Touring Orphan,,0,12,87,-9431.32,55.0524,56.6871,0.6239,43200,0,0,0,0,0,1,3,12,1,0,7,0,0,0,768,66,SmartAI,,NULL,4
11010,23712,Touring Orphan,,0,12,87,-9431.98,56.7107,56.6996,6.16101,43200,0,0,0,0,0,1,3,12,1,0,7,0,0,0,768,66,SmartAI,,NULL,4
12604,14849,Darkmoon Faire Carnie,NULL,0,12,12,-9581.36,59.2771,61.5242,0.308834,300,0,0,0,0,0,25,25,1555,1,0,7,0,0,0,768,66,SmartAI,,0,11
17650,6491,Spirit Healer,,0,12,88,-9554.16,-1367.13,51.202,4.91271,300,0,0,0,0,0,60,60,35,16385,0,7,0,2,1,768,66,,,NULL,4
27660,14849,Darkmoon Faire Carnie,NULL,0,12,12,-9551.95,134.237,58.9648,1.72788,300,0,0,0,0,0,25,25,1555,1,0,7,0,0,0,768,66,SmartAI,,0,11
38004,14849,Darkmoon Faire Carnie,NULL,0,12,87,-9547.84,73.6699,58.9674,4.64258,300,0,0,0,0,0,25,25,1555,1,0,7,0,0,0,768,66,SmartAI,,0,11
42598,14849,Darkmoon Faire Carnie,NULL,0,12,87,-9537.16,70.2721,59.0065,5.03524,300,0,0,0,0,0,25,25,1555,1,0,7,0,0,0,768,66,SmartAI,,0,11
42601,14849,Darkmoon Faire Carnie,NULL,0,12,87,-9545.6,116.265,59.2087,4.90953,300,0,0,0,0,0,25,25,1555,1,0,7,0,0,0,768,66,SmartAI,,0,11
44187,14849,Darkmoon Faire Carnie,NULL,0,12,87,-9532.41,67.9315,58.9648,5.39307,300,0,0,0,0,0,25,25,1555,1,0,7,0,0,0,768,66,SmartAI,,0,11
46801,14849,Darkmoon Faire Carnie,NULL,0,12,87,-9546.6,124.032,59.3384,4.87607,300,0,0,0,0,0,25,25,1555,1,0,7,0,0,0,768,66,SmartAI,,0,11
48875,1423,Stormwind Guard,,0,12,60,-9779.24,815.569,25.9716,3.52556,300,0,0,0,0,0,22,25,11,1,0,7,0,0,0,32768,32832,,,0,38
