This is a list of all NPC's used in all of the patches.


Entry         Name                     Script

80000         Young Woman              All-In-One

908001        The Lich King            Arena Gambler

99990         LordPsyan                BeastMaster

99014         George                   Bounty Hunter

13            Beltez                   Guild Houses

100000        Abyssal                  Vortex TeleNPC

60002         LordPsyan                NPC Buff

100067        Young Woman              Enchant NPC

99013         "Lucky" Bob              Lottery NPC

60001         Cyon                     Profession NPC

60003         Lucy                     Level NPC

60005         George                   Vote Rewarder

190011        Thaumaturge Vashreen     Reforging

190010        Warpweaver               Transmogrification

190012        Narpweaver               Transmog Vendor

535200        LordPsyan                1v1 Arena Master
