"position_x;""position_y"";""position_z"";""orientation"";""map"";""name""",,,
"-758,534;""4401","98"";""79","563"";""2","88658"";""530"";""DustquillRavine"""
"-6440,73;""-1987","77"";""244","718"";""0","464476"";""0"";""DustfireValley"""
"-10898,3;""-364","784"";""39","2681"";""3","04614"";""0"";""Duskwood"""
"9317,38;""-7856","4"";""63","2953"";""5","35693"";""530"";""DuskwitherSpire"""
"9496,84;""-7862","65"";""16","1435"";""5","20221"";""530"";""DuskwitherGrounds"""
"1340,98;""-4638","58"";""53","5445"";""5","0328"";""1"";""DurotarZeppelin"""
"1007,78;""-4446","22"";""11","2022"";""0","20797"";""1"";""Durotar"""
"-483,455;""-1426","23"";""89","1916"";""1","93697"";""0"";""DurnholdeKeep"""
"-5451,55;""-656","992"";""392","675"";""0","66789"";""0"";""DunMorogh"""
"-2600,48;""-2350","81"";""82","9572"";""0","914501"";""0"";""DunModr"""
"5719,41;""-4504","33"";""760","87"";""4","73111"";""1"";""DunMandarr"""
"-1256,99;""-1189","47"";""38","9804"";""3","82979"";""0"";""DunGarok"""
"-8491,62;""-3036","55"";""9","25275"";""3","88535"";""1"";""DunemaulCompound"""
"-4086,41;""-2604","38"";""44","7943"";""1","58996"";""0"";""DunAlgaz"""
"-1003,14;""-3841","03"";""148","832"";""5","54348"";""0"";""DrywhiskerGorge"""
"916,611;""-4810","57"";""14","8334"";""6","28024"";""1"";""DrygulchRavine"""
"-2944,13;""1891","22"";""33","9487"";""0","049356"";""1"";""DreamBough"""
"-3141,22;""-4220","36"";""0","570819"";""5","34856"";""1"";""DreadmurkShore"""
"327,143;""-2253","88"";""242","753"";""3","93818"";""1"";""DreadmistPeak"""
"317,4;""-2209","99"";""213","239"";""4","9592"";""1"";""DreadmistDen"""
"-7734,77;""-2609","01"";""165","137"";""4","22183"";""0"";""DreadmaulRock"""
"-11517,4;""-2851","64"";""6","78542"";""4","15663"";""0"";""DreadmaulPost"""
"-10895;""-2933","24"";""12","8408"";""6","26628"";""0"";""DreadmaulHold"""
"2672,5;""5852","8"";""-15","4945"";""1","64421"";""530"";""DragonsEnd"""
"-3453,27;""-3655","72"";""58","0513"";""4","29267"";""0"";""DragonmawGates"""
"-4193,21;""380","221"";""118","023"";""3","5046"";""530"";""DragonmawFortress"""
"-5105,71;""600","108"";""85","5544"";""5","2386"";""530"";""DragonmawBaseCamp"""
"1413,82;""6539","05"";""3","65071"";""3","14981"";""530"";""Draenethystmine"""
"-8187,12;""-1019","58"";""145","084"";""3","11439"";""0"";""Dracodar"""
"9848,37;""966","953"";""1306","38"";""3","77457"";""1"";""Dolanaar"""
"-67,3581;""163","341"";""-3","46468"";""2","13943"";""429"";""Dmwest"""
"255,249;""-16","0561"";""-2","58737"";""4","7"";""429"";""Dmnorth"""
"-201,11;""-328","66"";""-2","72386"";""5","22313"";""429"";""Dmeast"""
"-3828,01;""1250","22"";""160","226"";""3","20835"";""1"";""DireMaulWest"""
"-3521,29;""1085","2"";""161","097"";""4","7281"";""1"";""DireMaulNorth"""
"-3980,8;""789","005"";""161","007"";""4","71945"";""1"";""DireMaulEast"""
"-2838,55;""-2875","5"";""32","5915"";""0","253382"";""0"";""DireforgeHill"""
"-6123,1;""-2955","85"";""204","97"";""2","93259"";""0"";""DigOne"""
"-606,395;""2211","75"";""92","9818"";""0","809746"";""1"";""Desolace"""
"-3754,58;""4708","83"";""-17","8536"";""0","692921"";""530"";""DerelictCaravan"""
"-1089,35;""4197","33"";""16","769"";""3","0523"";""530"";""DenOfHaalEsh"""
"-11117,5;""1797","77"";""36","5497"";""2","64007"";""0"";""DemontsPlace"""
"1561,25;""-2840","63"";""182","535"";""2","51311"";""1"";""DemonFallRidge"""
"1795,06;""-3179","68"";""92","2109"";""3","17443"";""1"";""DemonFallCanyon"""
"23,0998;""9","00932"";""-4","29664"";""3","18737"";""369"";""DeeprunTram"""
"368,992;""1100","97"";""106","238"";""5","00081"";""0"";""DeepElemMine"""
"2033,17;""5415","61"";""144","698"";""0","117995"";""530"";""DeathsDoor"""
"6545,51;""-6406","76"";""32","4218"";""2","39547"";""530"";""Deatholme"""
"1841,39;""1591","43"";""93","4301"";""2","39092"";""0"";""Deathnell"""
"1843,5;""1590"";""93","2971"";""3","08757"";""0"";""Deathknell""",
"-3472,5;""2006","64"";""96","8434"";""6","22837"";""530"";""DeathforgeTower"""
"3560,7;""-1123","08"";""220","487"";""3","14152"";""1"";""DeadwoodVillage"""
"-10811,7;""-1859","29"";""114","868"";""4","26659"";""0"";""DeadwindRavine"""
"-10438,8;""-1932","75"";""104","617"";""4","77402"";""0"";""DeadwindPass"""
"-16,4;""-383","07"";""61","78"";""2","52637"";""36"";""Deadmines"""
"-10461,4;""-1744","82"";""88","1416"";""5","05985"";""0"";""DeadmansCrossing"""
"831,592;""-5068","66"";""4","14613"";""4","95999"";""1"";""DeadeyeShore"""
"7828,77;""-7846","07"";""168","986"";""4","5841"";""530"";""DawnstarSpire"""
"9994,48;""-6487","35"";""1","20902"";""2","43127"";""530"";""DawningLane"""
"1469,48;""-3686","9"";""77","7679"";""3","44337"";""0"";""DarrowShire"""
"1547,05;""-2355","31"";""61","0999"";""2","91792"";""0"";""DarrowmereLake"""
"-318,143;""-456","173"";""59","0946"";""0","914737"";""0"";""DarrowHill"""
"9949,56;""2284","21"";""1341","4"";""1","59587"";""1"";""Darnassus"""
"4918,16;""-4553","79"";""857","268"";""3","62056"";""1"";""DarkwhisperGorge"""
"-1111,52;""-4776","58"";""4","40189"";""4","11253"";""1"";""DarkspearStrand"""
"5756,25;""298","505"";""20","6049"";""5","96504"";""1"";""Darkshore"""
"-10573;""-1182","51"";""28","0148"";""0","309022"";""0"";""Darkshire"""
"-2819,49;""-2770","63"";""35","1771"";""1","85512"";""1"";""DarkmistCavern"""
"-589,891;""5879","56"";""21","8492"";""5","17685"";""530"";""DarkcrestShore"""
"-389,634;""6364","47"";""21","7062"";""5","20512"";""530"";""DarkcrestEnclave"""
"-4779,79;""-1882","54"";""90","1741"";""3","77625"";""1"";""DarkcloudPinnacle"""
"1180,74;""-330","016"";""43","949"";""0","365731"";""0"";""DandredsFold"""
"1845,91;""-1563","5"";""59","1322"";""5","86316"";""0"";""DalsonsTears """
"335,479;""204","771"";""42","1124"";""3","42294"";""0"";""DalaranCrater"""
"3549,35;""5684","65"";""-10","3382"";""5","88067"";""530"";""DaggermawCanyon"""
"1175,45;""8135","31"";""18","8313"";""0","846961"";""530"";""DaggerfenVillage"""
"-1092,24;""-2852","42"";""42","3323"";""4","65476"";""0"";""DabyriesFarmstead"""
"2687,72;""5597","35"";""-11","2866"";""4","70098"";""530"";""CursedHollow"""
"-13304,6;""-428","921"";""14","3756"";""4","78735"";""0"";""CrystalveinMine"""
"4004,78;""4989","05"";""267","544"";""0","940518"";""530"";""CrystalSpine"""
"-9528,41;""-359","942"";""61","0692"";""5","9536"";""0"";""CrystalLake"""
"-11052,9;""-1568","93"";""27","233"";""4","64509"";""0"";""Crypt"""
"684,935;""-583","82"";""163","055"";""3","81442"";""0"";""CrushridgeHold"""
"1797,5;""689","077"";""44","7761"";""1","51755"";""0"";""CrusadersOutpost"""
"3039,71;""-559","263"";""121","856"";""0","032519"";""0"";""CrusadersOutpost"""
"1864,38;""-3675","68"";""153","909"";""4","56648"";""0"";""CrownGuardTower"""
"-4606,39;""1359","61"";""139","903"";""2","40976"";""530"";""CrimsonWatch"""
"-4042,22;""-13779","5"";""74","8069"";""2","37976"";""530"";""CrashSite"""
"1598,52;""106","656"";""22","1495"";""4","00152"";""1"";""CragpoolLake"""
"10070;""2293","83"";""1329","44"";""5","9784"";""1"";""CraftmensTerrace"""
"9888,38;""-7178","39"";""31","0292"";""0","854246"";""530"";""CourtOfTheSun"""
"2988,21;""1806","9"";""139","071"";""3","8591"";""530"";""Cosmowrench"""
"34,5932;""-549","443"";""144","423"";""2","68188"";""0"";""CorrahnsDagger"""
"2012,28;""-4470","7"";""73","6229"";""5","15472"";""0"";""CorinsCrossing"""
"-6231,77;""332","993"";""383","171"";""0","480178"";""0"";""ColdridgeValley"""
"2109,16;""603","695"";""35","2618"";""0","727451"";""0"";""ColdHearthManor"""
"-3010,81;""1715","21"";""74","0269"";""6","16004"";""530"";""CoilskarPoint"""
"-2926,87;""1333","17"";""8","17311"";""4","24367"";""530"";""CoilskarCistern"""
"735,066;""6883","45"";""-66","2913"";""5","89172"";""530"";""CoilfangReservoir"""
"7344,08;""-398","198"";""0","822346"";""3","29942"";""1"";""CliffspringRiver"""
"6892,58;""-659","319"";""85","6375"";""3","11156"";""1"";""CliffspringFalls"""
"1836,86;""-4397","85"";""3","58252"";""2","15931"";""1"";""CleftOfShadow"""
"-867,807;""-1777","93"";""40","2461"";""5","60058"";""0"";""CircleOfWestBinding"""
"-1354,53;""-2737","5"";""58","9458"";""5","9114"";""0"";""CircleOfOuterBinding"""
"-1539,11;""-2168","63"";""17","3715"";""0","578985"";""0"";""CircleOfInnerBinding"""
"-842,406;""-3271","57"";""78","3724"";""0","432116"";""0"";""CircleOfEastBinding"""
"2839,44;""5930","17"";""11","1002"";""3","16284"";""530"";""CircleOfBloodArena"""
"262,381;""-1437","45"";""50","1333"";""4","13091"";""0"";""ChillwindPoint"""
"967,964;""-1443","99"";""65","0399"";""2","05398"";""0"";""ChillwindCamp"""
"-5568,39;""94","4882"";""483","947"";""2","57091"";""0"";""ChillBreezeValley"""
"2416,41;""2171","83"";""90","9205"";""5","58696"";""530"";""ChapelYard"""
"-1816,67;""4691","8"";""10","6813"";""0","383229"";""530"";""CenarionThicket"""
"-223,541;""5487","99"";""23","2281"";""0","886755"";""530"";""CenarionRefuge"""
"-318,842;""4718","99"";""18","4132"";""6","21599"";""530"";""CenarionPost"""
