"name";"permission";"help"
"account create";"219";"Syntax: .account create $account $password

Create account and set password to it."
"account delete";"220";"Syntax: .account delete $account

Delete account with all characters."
"account lock ip";"223";"Syntax: .account lock ip [on|off]
Allow login from account only from current used IP or remove this requirement."
"account onlinelist";"224";"Syntax: .account onlinelist

Show list of online accounts."
"account password";"225";"Syntax: .account password $old_password $new_password $new_password [$email]

Change your account password. You may need to check the actual security mode to see if email input is necessary."
"account set addon";"227";"Syntax: .account set addon [$account] #addon

Set user (possible targeted) expansion addon level allowed. Addon values: 0 - normal, 1 - tbc, 2 - wotlk, 3 - cata, 4 - mop, 5 - wod, 6 - legion."
"account set gmlevel";"228";"Syntax: .account set gmlevel [$accountName] #level [#realmID]

Set the security level for targeted player (can't be used at self) or for account $accountName to a level of #level on the realm #realmID.

#level may range from 0 to 3.

#realmID - Default: -1 for all realms.

Note: this command will be removed soon. Use 'account set seclevel' instead."
"account set password";"229";"Syntax: .account set password $account $password $password

Set password for account."
"account set";"226";"Syntax: .account set $subcommand
Type .account set to see the list of possible subcommands or .help account set $subcommand to see info on subcommands"
"account";"217";"Syntax: .account

Display the access level of your account and the email adress if you possess the necessary permissions."
"additem";"488";"Syntax: .additem #itemid/[#itemname]/#shift-click-item-link #itemcount #bonusListIDs

Adds the specified number of items of id #itemid (or exact (!) name $itemname in brackets, or link created by shift-click at item in inventory or recipe) to your or selected character inventory. If #itemcount is omitted, only one item will be added. #bonusListIDs is a semicolon separated list of bonuses to add to item (such as Mythic/Heroic/Warforged/socket)"
"additemset";"489";"Syntax: .additemset #itemsetid #bonusListIDs

Add items from itemset of id #itemsetid to your or selected character inventory. Will add by one example each item from itemset.

If the itemset has multiple levels it adds one of each item level. #bonusListIDs is a semicolon separated list of bonuses to add to all items (such as Mythic/Heroic/Warforged/socket)"
"announce";"462";"Syntax: .announce $MessageToBroadcast

Send a global message to all players online in chat log."
"aura";"491";"Syntax: .aura #spellid

Add the aura from spell #spellid to the selected Unit."
"ban account";"240";"Syntax: .ban account $Name $bantime $reason
Ban account kick player.
$bantime: negative value leads to permban, otherwise use a timestring like ""4d20h3s""."
"ban character";"241";"Syntax: .ban character $Name $bantime $reason
Ban character and kick player.
$bantime: negative value leads to permban, otherwise use a timestring like ""4d20h3s""."
"ban ip";"242";"Syntax: .ban ip $Ip $bantime $reason
Ban IP.
$bantime: negative value leads to permban, otherwise use a timestring like ""4d20h3s""."
"ban";"239";"Syntax: .ban $subcommand
Type .ban to see the list of possible subcommands or .help ban $subcommand to see info on subcommands"
"baninfo account";"245";"Syntax: .baninfo account $accountid
Watch full information about a specific ban."
"baninfo character";"246";"Syntax: .baninfo character $charactername 
Watch full information about a specific ban."
"baninfo ip";"247";"Syntax: .baninfo ip $ip
Watch full information about a specific ban."
"baninfo";"244";"Syntax: .baninfo $subcommand
Type .baninfo to see the list of possible subcommands or .help baninfo $subcommand to see info on subcommands"
"bank";"492";"Syntax: .bank

Show your bank inventory."
"banlist account";"249";"Syntax: .banlist account [$Name]
Searches the banlist for a account name pattern or show full list account bans."
"banlist character";"250";"Syntax: .banlist character $Name
Searches the banlist for a character name pattern. Pattern required."
"banlist ip";"251";"Syntax: .banlist ip [$Ip]
Searches the banlist for a IP pattern or show full list of IP bans."
"banlist";"248";"Syntax: .banlist $subcommand
Type .banlist to see the list of possible subcommands or .help banlist $subcommand to see info on subcommands"
